,Lg,Tm,W,L,Finish, ,Age,Ht.,Wt., ,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,NBA,BRK,35,37,4,,26.3,6-6,219,,72,17480,2908,6498,.448,941,2746,.343,1967,3752,.524,1291,1732,.745,766,2683,3449,1761,464,323,1099,1510,8048
1,NBA,BRK,42,40,4,,25.4,6-7,215,,82,19980,3301,7358,.449,1047,2965,.353,2254,4393,.513,1555,2088,.745,900,2919,3819,1954,539,339,1236,1763,9204
2,NBA,BRK,28,54,5,,25.1,6-7,218,,82,19855,3136,7114,.441,1041,2924,.356,2095,4190,.500,1428,1850,.772,792,2852,3644,1941,512,390,1245,1688,8741
3,NBA,BRK,20,62,5,,26.0,6-7,224,,82,19755,3102,6987,.444,877,2591,.338,2225,4396,.506,1592,2020,.788,721,2879,3600,1756,593,387,1356,1726,8673
4,NBA,BRK,21,61,4,,26.9,6-6,220,,82,19755,3136,6920,.453,531,1508,.352,2605,5412,.481,1286,1699,.757,863,2614,3477,1829,627,332,1212,1476,8089
5,NBA,BRK,38,44,3,,28.6,6-7,224,,82,19930,3069,6804,.451,541,1633,.331,2528,5171,.489,1359,1817,.748,846,2627,3473,1716,576,340,1133,1579,8038
6,NBA,BRK,44,38,2,,30.0,6-7,219,,82,19880,2931,6391,.459,709,1922,.369,2222,4469,.497,1508,2002,.753,721,2407,3128,1714,705,311,1191,1777,8079
7,NBA,BRK,49,33,2,,28.6,6-7,223,,82,19855,2942,6544,.450,628,1760,.357,2314,4784,.484,1432,1958,.731,1047,2460,3507,1668,599,391,1206,1500,7944
8,NBA,NJN,22,44,5,,26.1,6-6,219,,66,15890,2262,5320,.425,507,1481,.342,1755,3839,.457,1113,1433,.777,783,1879,2662,1311,493,260,995,1268,6144
9,NBA,NJN,24,58,4,,24.8,6-7,218,,82,20005,2918,6638,.440,459,1337,.343,2459,5301,.464,1427,1881,.759,909,2440,3349,1723,458,384,1152,1807,7722
10,NBA,NJN,12,70,5,,24.8,6-7,217,,82,19780,2813,6554,.429,377,1185,.318,2436,5369,.454,1572,2015,.780,897,2358,3255,1540,573,393,1182,1643,7575
11,NBA,NJN,34,48,3,,25.7,6-7,219,,82,19830,2925,6536,.448,652,1735,.376,2273,4801,.473,1542,1980,.779,850,2415,3265,1636,559,391,1075,1838,8044
12,NBA,NJN,34,48,4,,27.4,6-7,222,,82,19830,2856,6450,.443,498,1430,.348,2358,5020,.470,1647,2237,.736,913,2520,3433,1925,521,390,1229,1855,7857
13,NBA,NJN,41,41,2,,28.2,6-7,219,,82,19880,2913,6379,.457,609,1676,.363,2304,4703,.490,1566,2153,.727,822,2525,3347,1962,499,273,1212,1869,8001
14,NBA,NJN,49,33,1,,28.6,6-7,222,,82,19780,2778,6317,.440,477,1447,.330,2301,4870,.472,1658,2187,.758,822,2539,3361,1884,558,278,1119,1903,7691
15,NBA,NJN,42,40,3,,27.8,6-6,219,,82,19905,2753,6419,.429,435,1203,.362,2318,5216,.444,1555,2039,.763,855,2387,3242,1772,650,308,1164,1985,7496
16,NBA,NJN,47,35,1,,27.7,6-7,216,,82,19705,2813,6372,.441,377,1123,.336,2436,5249,.464,1398,1856,.753,862,2473,3335,2009,709,322,1209,1722,7401
17,NBA,NJN,49,33,1,,27.3,6-7,217,,82,19755,2906,6585,.441,346,1041,.332,2560,5544,.462,1662,2195,.757,991,2528,3519,1887,717,374,1212,1772,7820
18,NBA,NJN,52,30,1,,26.1,6-7,218,,82,19830,3042,6816,.446,403,1194,.338,2639,5622,.469,1402,1907,.735,1039,2515,3554,1990,716,490,1189,1734,7889
19,NBA,NJN,26,56,6,,27.5,6-6,209,,82,19730,2781,6550,.425,361,1084,.333,2420,5466,.443,1629,2146,.759,909,2337,3246,1603,649,407,1208,1982,7552
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NBA,NJN,31,51,6,,27.3,6-6,206,,82,19830,2979,6881,.433,477,1374,.347,2502,5507,.454,1601,2041,.784,1040,2315,3355,1688,720,393,1119,1913,8036
22,NBA,NJN,16,34,7,,26.0,6-6,207,,50,12050,1691,4160,.406,225,679,.331,1466,3481,.421,962,1251,.769,715,1437,2152,923,491,273,750,1134,4569
23,NBA,NJN,43,39,3,,27.8,6-6,204,,82,19880,3055,6928,.441,310,937,.331,2745,5991,.458,1750,2351,.744,1344,2137,3481,1685,777,314,1180,1917,8170
24,NBA,NJN,26,56,5,,26.8,6-7,209,,82,19780,2994,7091,.422,484,1371,.353,2510,5720,.439,1502,2031,.740,1410,2376,3786,1726,677,481,1290,1865,7974
25,NBA,NJN,30,52,6,,27.4,6-8,215,,82,19905,2881,6750,.427,250,746,.335,2631,6004,.438,1672,2244,.745,1350,2503,3853,1752,627,571,1375,1880,7684
26,NBA,NJN,30,52,5,,27.5,6-7,213,,82,19880,2939,6738,.436,414,1297,.319,2525,5441,.464,1750,2305,.759,1213,2569,3782,1884,544,548,1300,1844,8042
27,NBA,NJN,45,37,3,,26.6,6-6,211,,82,19830,3169,7115,.445,223,683,.327,2946,6432,.458,1900,2495,.762,1300,2556,3856,1900,696,576,1196,1693,8461
28,NBA,NJN,43,39,3,,27.3,6-7,211,,82,19780,3272,7084,.462,155,488,.318,3117,6596,.473,1732,2258,.767,1291,2506,3797,1872,693,526,1355,1892,8431
29,NBA,NJN,40,42,3,,25.6,6-7,210,,82,19780,3473,7580,.458,224,670,.334,3249,6910,.470,1471,2009,.732,1512,2392,3904,1937,736,615,1392,1834,8641
30,NBA,NJN,26,56,5,,26.2,6-7,210,,82,19830,3311,7459,.444,161,586,.275,3150,6873,.458,1658,2245,.739,1400,2348,3748,1782,748,600,1423,1954,8441
31,NBA,NJN,17,65,6,,26.6,6-7,209,,82,19705,3157,7415,.426,140,506,.277,3017,6909,.437,1754,2350,.746,1363,2324,3687,1475,774,481,1360,1952,8208
32,NBA,NJN,26,56,5,,26.8,6-6,203,,82,19805,3333,7226,.461,187,568,.329,3146,6658,.473,1653,2260,.731,1204,2419,3623,1793,773,431,1449,1966,8506
33,NBA,NJN,19,63,5,,26.7,6-6,207,,82,19780,3208,6857,.468,137,455,.301,3071,6402,.480,1682,2308,.729,1075,2262,3337,1795,727,385,1503,2042,8235
34,NBA,NJN,24,58,4,,26.2,6-7,209,,82,19855,3374,7083,.476,145,449,.323,3229,6634,.487,2000,2607,.767,1169,2409,3578,1991,643,397,1617,2353,8893
35,NBA,NJN,39,43,4,,27.5,6-6,206,,82,19805,3548,7301,.486,43,214,.201,3505,7087,.495,1810,2396,.755,1183,2483,3666,2128,749,345,1575,2129,8949
36,NBA,NJN,42,40,3,,26.5,6-6,207,,82,19755,3646,7445,.490,52,224,.232,3594,7221,.498,1631,2237,.729,1233,2325,3558,2163,772,415,1355,2011,8975
37,NBA,NJN,45,37,4,,25.5,6-6,206,,82,19805,3614,7258,.498,49,232,.211,3565,7026,.507,1742,2488,.700,1221,2313,3534,2148,814,499,1608,2243,9019
38,NBA,NJN,49,33,3,,25.2,6-6,204,,82,19705,3510,7140,.492,30,149,.201,3480,6991,.498,1622,2301,.705,1266,2427,3693,2143,911,592,1873,2166,8672
39,NBA,NJN,44,38,3,,25.1,6-5,202,,82,19780,3501,7227,.484,30,146,.205,3471,7081,.490,1714,2354,.728,1194,2320,3514,2096,918,481,1650,2295,8746
40,NBA,NJN,24,58,5,,25.2,6-6,205,,82,19805,3477,7314,.475,34,138,.246,3443,7176,.480,1780,2371,.751,1092,2374,3466,2068,750,458,1664,2204,8768
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NBA,NJN,34,48,5,,26.1,6-6,201,,82,19805,3456,7504,.461,85,298,.285,3371,7206,.468,1882,2406,.782,1229,2535,3764,2094,869,581,1702,2181,8879
43,NBA,NJN,37,45,3,,25.7,6-5,198,,82,19755,3464,7523,.460,,,,3464,7523,.460,1904,2613,.729,1241,2370,3611,1907,853,619,1861,2329,8832
44,NBA,NJN,24,58,5,,25.5,6-6,199,,82,19905,3547,8004,.443,,,,3547,8004,.443,1652,2304,.717,1306,2595,3901,1879,857,631,1774,2312,8746
45,NBA,NYN,22,60,5,,25.8,6-6,202,,82,19730,3096,7222,.429,,,,3096,7222,.429,1673,2274,.736,1157,2547,3704,1422,802,435,1630,2178,7865
46,ABA,NYA,55,29,2,,25.4,6-5,203,,84,20385,3752,8148,.460,111,372,.298,3641,7776,.468,1775,2333,.761,1493,2750,4243,1817,913,522,1529,2209,9390
47,ABA,NYA,58,26,2,,24.5,6-5,201,,84,20385,3879,7943,.488,69,252,.274,3810,7691,.495,1501,1929,.778,1214,2776,3990,2007,917,516,1402,1947,9328
48,ABA,NYA,55,29,1,,23.4,6-5,200,,84,20285,3855,8038,.480,81,256,.316,3774,7782,.485,1397,1852,.754,1334,2772,4106,2025,828,568,1612,1979,9188
49,ABA,NYA,30,54,4,,25.1,6-5,202,,84,20210,3400,7073,.481,49,174,.282,3351,6899,.486,1851,2513,.737,1161,2673,3834,1899,,,1696,2112,8700
50,ABA,NYA,44,40,3,,25.1,6-5,200,,84,20435,3697,7698,.480,92,318,.289,3605,7380,.488,1990,2589,.769,1284,2871,4155,1842,,,1655,2065,9476
51,ABA,NYA,40,44,3,,24.5,6-5,200,,84,20260,3638,7704,.472,38,170,.224,3600,7534,.478,2013,2653,.759,1330,2779,4109,1877,,,1782,2203,9327
52,ABA,NYA,39,45,4,,25.9,6-5,197,,84,20335,3543,7854,.451,70,282,.248,3473,7572,.459,1990,2826,.704,1609,2547,4156,1762,,,1714,2381,9146
53,ABA,NYA,17,61,5,,25.8,6-4,205,,78,18870,3148,7563,.416,77,264,.292,3071,7299,.421,2090,2816,.742,1459,2576,4035,1409,,,1537,2260,8463
54,ABA,NJA,36,42,5,,23.0,6-5,203,,78,18745,3189,7727,.413,125,456,.274,3064,7271,.421,2138,2876,.743,,,4075,1200,,,1231,2051,8641
